星期二,三月,21:28:20:61752-VCID:1675C471F8088E3A44F-8042,数据版本: 20250313 DS365.0,,,,,,,
,1299,14.90820313,0,0,1.4,0,2.4648,2.795898438,2.637695313,
,1381,14.91699219,0,0,1.4,0,2.5137,2.814453125,2.55078125,
,1448,14.61816406,0,0,10.7,4.8379,2.6602,2.77734375,2.420898438,
,1506,15.00292969,0,0,30.9,-0.6855,2.4043,2.795898438,2.630859375,
,1553,14.92578125,0,0,33.3,2.0176,2.4766,2.879882813,2.544921875,
,1599,14.63476563,0,0,34.9,3.7715,2.4766,2.77734375,2.62109375,
,1636,14.8828125,0,0,38.9,1.6367,2.5391,2.8515625,2.501953125,
,1683,14.89160156,0,0,45.3,1.8652,2.4648,2.795898438,2.625,
,1734,14.8828125,2,0,48.2,2.1699,0.207,-0.650390625,0,
,1806,14.91699219,9,72.5,50,0.0371,0.0117,-0.0078125,0,
,1888,14.91699219,85,87,54.5,0.7227,0,0.001953125,0,
,1995,14.90820313,85,90.75,54.5,0.6855,0.0117,0.010742188,0,
,2095,14.90820313,94,95.25,54.9,0.6855,0,0.001953125,0,
,2215,14.89160156,98,103,55,1.7129,0,0.001953125,0,
,2303,14.90039063,101,108.25,55.1,0.8379,0,0.001953125,0,
,2383,14.86621094,111,113.25,55.4,0.8379,0,0.001953125,0,
,2439,14.90820313,116,118.25,55.6,0.9902,0,0.001953125,0,
,2464,14.8828125,116,121.75,55.6,0.9902,0.0117,0.001953125,0,
,2485,14.8828125,116,124.5,55.6,0.9902,0.0117,0.001953125,0,
,2501,14.8828125,129,126,56,1.752,0,0.001953125,0,
,2527,14.89160156,131,128.5,56,0.9141,0.0117,0.001953125,0,
,2539,14.8828125,130,130,56,0.9141,0,0.010742188,0,
,2558,14.89160156,130,132,56,1.0273,0.0117,0.001953125,0,
,2563,14.85742188,130,132.75,56,1.0273,0.0117,0.001953125,0,
,2564,14.8828125,130,133.75,56,0.9902,0,0.001953125,0,
,2592,14.8828125,131,135.5,56.1,1.2559,0.0117,0.001953125,0,
,2611,14.84863281,131,137,56.1,1.2559,0,0.010742188,0,
,2637,14.8828125,131,138,56.1,1.2188,0,0.001953125,0,
,2650,14.83203125,131,140.25,56.1,1.2559,0.0117,0.010742188,0,
,2657,14.8828125,131,140.5,56.1,1.2188,0.0117,0.001953125,0,
,2669,14.85742188,146,142.5,56.5,1.8652,0.0117,0.001953125,0,
,2689,14.81445313,147,143.75,56.6,1.0664,0,0.001953125,0,
,2757,14.7890625,147,147.5,56.6,1.0273,0.0117,0.010742188,0,
,2881,14.83984375,150,153.5,56.7,1.9043,0.0117,0.001953125,0,
,3007,14.78027344,151,161,56.7,1.3711,0,0.010742188,0,
,3138,14.79785156,168,169,57.2,1.1426,0.0117,0.001953125,0,
,3275,14.79785156,176,178.5,57.5,1.4082,0,0.010742188,0,
,3436,14.7890625,192,192,58,1.332,0,0.001953125,0,
,3611,14.73730469,198,204.75,58.1,1.7129,0,0.001953125,0,
,3789,14.79785156,217,221,58.6,1.6758,0,0.001953125,0,
,3905,14.76269531,231,234.5,59,1.752,0,0.001953125,0,
,3999,14.75488281,247,251.5,59.4,1.752,0.0117,0.001953125,0,
,4093,14.72851563,261,269,59.8,1.9805,0.0117,0.001953125,0,
,4107,14.72070313,280,284.75,60.2,2.5137,0,0.001953125,0,
,4147,14.72851563,300,303.5,60.7,2.209,0,0.001953125,0,
,4228,14.71191406,316,327.5,61,2.4746,0,0.001953125,0,
,4301,14.63476563,354,376.5,61.9,4.5703,0,-0.026367188,0,
,4376,14.703125,374,385.25,62.4,3.1992,0.0117,0.001953125,0,
,4489,14.67773438,374,387.25,62.4,3.1992,0.0117,0.001953125,0,
,4525,14.77148438,374,380,62.4,3.1621,0,0.001953125,0,
,4639,14.7890625,374,370.75,62.4,3.1621,0.0117,0.001953125,0,
,4744,14.75488281,374,373,62.4,3.2383,0.0117,0.001953125,0,
,4853,14.74609375,374,374.75,62.4,3.1621,0,0.001953125,0,
,4960,2.600585938,371,352,62.3,-0.7617,0.0117,0.010742188,0,
,5049,14.703125,355,351,62,3.0098,0.0117,0.001953125,0,
,5085,14.77148438,356,352.75,62,3.0098,0.0117,0.001953125,0,
,5036,14.75488281,356,340.75,62,2.9336,0,0.001953125,0,
,4956,14.71191406,335,318.5,61.5,-0.7227,0.0117,0.001953125,0,
,4925,14.72851563,317,308,61.1,-0.7988,0,0.001953125,0,
,4980,14.72070313,309,312,61,2.627,0,0.001953125,0,
,5024,14.71191406,310,316.75,61,2.7031,0,0.010742188,0,
,5087,14.75488281,311,317,61,2.627,0.0117,0.001953125,0,
,5118,14.68652344,312,309,61,2.5137,0,0.001953125,0,
,5138,14.72851563,312,304.25,61,2.5508,0.0117,0.001953125,0,
,5227,14.72851563,312,306.25,61,2.5898,0,0.001953125,0,
,5262,14.66015625,313,304.25,61,2.4375,0,0.001953125,0,
,5253,14.703125,304,295.75,60.8,-0.7988,0,0.001953125,0,
,4863,14.72070313,297,263,60.6,-1.0273,0.0117,0.001953125,0,
,4462,14.67773438,255,232.5,59.6,-0.3047,0,0.010742188,0,
,4068,14.68652344,214,208.5,58.5,1.9414,0.0117,0.001953125,0,
,3971,14.61816406,227,231,58.9,2.4746,0,0.001953125,0,
,3889,14.72851563,240,249,59.2,1.3711,0.0117,-0.017578125,0,
,3896,14.68652344,253,257.25,59.6,1.752,0,0.010742188,0,
,3900,14.71191406,266,258.25,59.9,2.1699,0,0.001953125,0,
,3942,14.72851563,267,254.25,59.9,1.9414,0.0117,0.001953125,0,
,3973,14.69433594,267,256.25,59.9,1.9043,0,0.001953125,0,
,4003,14.703125,267,255.75,59.9,1.9414,0,0.001953125,0,
,4023,14.69433594,267,258.5,60,1.8281,0.0117,0.001953125,0,
,4058,14.74609375,267,256.75,60,1.8281,0.0117,0.001953125,0,
,4061,14.80566406,267,256.5,60,1.9043,0,0.001953125,0,
,4113,14.75488281,267,256,60,1.9805,0.0117,0.001953125,0,
,4130,14.87402344,267,254.25,59.9,-0.7988,0,0.010742188,0,
,4160,14.81445313,259,253.5,59.7,2.2461,0.0117,0.001953125,0,
,4184,14.83984375,260,255.5,59.8,2.1328,0,0.001953125,0,
,4212,14.81445313,260,253,59.8,2.1328,0,0.001953125,0,
,4233,14.86621094,260,255,59.8,2.1699,0,0.001953125,0,
,4258,14.89160156,261,253,59.8,2.0938,0,0.010742188,0,
,4286,14.87402344,261,250.25,59.8,2.0176,0,0.001953125,0,
,4325,14.82324219,261,249.25,59.8,2.0176,0,0.001953125,0,
,4403,14.78027344,261,250,59.8,2.0176,0.0117,0.001953125,0,
,4463,14.82324219,248,246.75,59.5,2.0566,0.0117,0.001953125,0,
,4330,14.85742188,232,205.75,59,-1.5234,0.0117,0.001953125,0,
,4128,14.90039063,174,153,57.4,-0.6465,0.0117,0.001953125,0,
,4120,14.89160156,119,101.75,55.7,-0.5703,0.0117,0.010742188,0,
,4120,14.90039063,91,71.5,54.8,-0.875,0.0117,0.001953125,0,
,4104,14.90820313,53,40.5,53.4,-0.7988,0,0.001953125,0,
,4066,14.95117188,23,15.75,51.4,-0.5332,0,0.001953125,0,
,4016,14.95996094,12,14.5,50.4,-1.4082,0,-0.0078125,0,
,3980,14.91699219,15,11.25,50.8,-0.457,0,0.010742188,0,
,3964,14.8828125,15,12.5,50.7,0.5703,0,0.001953125,0,
,3964,14.90820313,12,12.25,50.4,0.1895,0,0.001953125,0,
,3963,14.90820313,12,14,50.4,0.1895,0,0.001953125,0,
,3965,14.96875,12,12,50.4,0.1523,0,0.010742188,0,
,3946,14.95117188,12,13,50.4,0.1895,0.0117,0.001953125,0,
,3916,14.95117188,12,12.25,50.4,0.1895,0,0.001953125,0,
,3863,14.86621094,12,12.75,50.4,0.1895,0.0117,0.010742188,0,
,3797,14.92578125,12,13,50.4,0.2285,0.0117,0.010742188,0,
,3727,14.98535156,12,13,50.4,0.1895,0.0117,0.010742188,0,
,3655,14.9765625,12,13.5,50.4,0.1523,0,0.001953125,0,
,3637,15.02832031,12,13.25,50.4,0.1895,0,0.001953125,0,
,3580,15.02832031,12,14,50.4,0.1895,0,0.001953125,0,
,3512,15.01953125,12,14.25,50.4,0.1895,0,0.010742188,0,
,3442,15.01953125,18,16.75,51,0.2285,0,0.001953125,0,
,3372,15.01074219,18,17.75,51,0.1133,0,0.001953125,0,
,3302,15.01953125,18,20.25,51,0.1133,0.0117,0.010742188,0,
,3230,15.03710938,19,17.5,51.1,0.1895,0,0.001953125,0,
,3158,14.96875,19,19.25,51.1,0.2285,0.0117,0.001953125,0,
,3089,15.01953125,19,21.5,51.1,0.2285,0.0117,0.010742188,0,
,3024,15.01074219,19,23.5,51.1,0.1895,0,0.001953125,0,
,2961,15.01953125,24,24.75,51.5,0.1523,0.0117,0.010742188,0,
,2896,15.03710938,25,24,51.5,0.2656,0,0.010742188,0,
,2828,14.99414063,23,21.5,51.4,-1.2949,0.0117,0.001953125,0,
,2763,15.00292969,21,17.75,51.2,0.2285,0,0.001953125,0,
,2698,14.95117188,16,20.25,50.8,0.1895,0.0117,-0.0078125,0,
,2634,14.98535156,16,16.75,50.9,-0.5703,0,0.001953125,0,
,2569,14.99414063,17,19.5,50.9,0.5703,0.0117,0.001953125,0,
,2501,14.98535156,22,22,51.3,0.2656,0,0.001953125,0,
,2441,14.98535156,20,24,51.2,0.1895,0,0.001953125,0,
,2375,14.95117188,25,28.25,51.5,0.2285,0.0117,0.010742188,0,
,2311,14.96875,32,35.5,52,0.3418,0,-0.0078125,0,
,2247,14.96875,35,37.75,52.3,0.9141,0,0.001953125,0,
,2183,14.96875,35,27.75,52.3,-1.2949,0,0.001953125,0,
,2120,14.96875,18,16.25,51,-0.3809,0.0117,0.001953125,0,
,2059,14.98535156,14,11.75,50.6,-1.2559,0,0.001953125,0,
,1993,14.96875,15,13.75,50.7,0.0762,0.0117,0.001953125,0,
,1932,14.96875,15,16,50.7,0.0762,0.0117,0.001953125,0,
,1867,14.92578125,16,17.5,50.8,0.5332,0.0117,0.001953125,0,
,1805,14.9765625,22,27.25,51.3,0.9512,0,0.001953125,0,
,1743,14.93457031,31,42,52,0.7988,0.0117,0.001953125,0,
,1680,14.9765625,57,48.5,53.6,-0.3047,0.0117,0.001953125,0,
,1618,14.98535156,63,66.75,53.8,0.5332,0,0.001953125,0,
,1559,14.95996094,63,64.5,53.8,0.5703,0.0117,0.010742188,0,
,1499,14.95117188,69,76.25,54,0,0,0.001953125,0,
,1440,14.90039063,76,76.25,54.2,0.6094,0,0.010742188,0,
,1380,14.99414063,77,79.5,54.3,0.7227,0,0.010742188,0,
,1322,14.96875,78,74,54.3,0.7617,0,0.001953125,0,
,1309,14.95117188,74,70,54.2,-1.1426,0,0.010742188,0,
,1308,14.95996094,70,71.75,54.1,0.6855,0,0.010742188,0,
,1258,14.90039063,70,66.75,54.1,0.6465,0.0117,0.001953125,0,
,1209,14.93457031,70,64.25,54.1,0.6465,0,0.010742188,0,
,1151,14.91699219,62,61,53.7,0.6465,0.0117,0.001953125,0,
,1109,14.95117188,62,61.25,53.7,0.6094,0.0117,0.010742188,0,
,1067,14.96875,62,59.75,53.7,0.5703,0.0117,0.001953125,0,
,1049,14.95117188,62,60,53.7,0.5703,0.0117,0.001953125,0,
,1031,14.90820313,62,60.75,53.7,0.6094,0,0.010742188,0,
,1011,14.96875,62,61.5,53.7,0.6094,0.0117,0.001953125,0,
,993,14.98535156,62,60.75,53.7,0.6094,0.0117,0.010742188,0,
,982,14.99414063,62,61.25,53.7,0.6094,0,0.001953125,0,
,969,14.99414063,62,61.5,53.7,0.6094,0,0.010742188,0,
,957,14.99414063,62,67.5,53.7,0.6094,0.0117,0.001953125,0,
,936,14.98535156,67,59.5,54,-1.0273,0,0.001953125,0,
,920,14.98535156,70,64,54.1,0.457,0,0.010742188,0,
,907,15.00292969,56,56.5,53.5,0.3047,0.0117,0.010742188,0,
,896,15.00292969,57,56.75,53.6,0.5703,0.0117,0.001953125,0,
,885,15.00292969,57,53.75,53.6,0.5332,0.0117,0.001953125,0,
,873,15.00292969,57,51.75,53.6,0.5703,0.0117,0.010742188,0,
,867,15.01074219,51,48.25,53.3,0.4941,0.0117,0.001953125,0,
,860,15.01074219,52,45,53.3,0.457,0,0.010742188,0,
,852,14.95996094,46,43,53.1,0.457,0,0.010742188,0,
,849,15.02832031,47,41.5,53.1,0.457,0.0117,0.010742188,0,
,848,15.01953125,30,37.5,51.9,-0.3047,0.0117,0.001953125,0,
,844,15.00292969,41,30,52.7,-1.3711,0,0.001953125,0,
,843,14.99414063,38,44.5,52.5,1.4473,0.0117,0.001953125,0,
,841,14.98535156,50,49.5,53.3,0.418,0,0.010742188,0,
,840,15.01074219,50,51.5,53.3,0.418,0.0117,0.010742188,0,
,836,14.99414063,46,40.25,53.1,-1.332,0.0117,0.001953125,0,
,835,15.01953125,36,34.25,52.4,0.418,0.0117,0.010742188,0,
,835,15.00292969,34,30,52.2,-1.4844,0,0.001953125,0,
,833,14.98535156,28,25.75,51.8,0.2656,0,0.001953125,0,
,834,14.99414063,26,24.25,51.6,-1.1426,0,0.001953125,0,
,832,14.99414063,25,24,51.5,0.2656,0.0117,0.001953125,0,
,825,14.98535156,25,22.75,51.5,0.2656,0.0117,0.001953125,0,
,830,15.00292969,25,22.5,51.5,0.2285,0,0.001953125,0,
,830,14.99414063,25,21.25,51.5,0.2656,0,0.001953125,0,
,833,15.01074219,20,19.5,51.2,0.2285,0.0117,0.010742188,0,
,835,14.99414063,18,14.75,51,-1.5996,0,0.001953125,0,
,836,15.01953125,14,11.75,50.6,0.1523,0.0117,0.010742188,0,
,836,15.00292969,9,10,50,0.1523,0.0117,0.010742188,0,
,836,14.98535156,9,9.5,50,0.1133,0,0.001953125,0,
,838,15.00292969,9,8.5,50,0.1523,0,0.010742188,0,
,836,14.98535156,8,7,49.9,-1.5996,0.0117,0.001953125,0,
,839,15.02832031,6,6.25,49.7,0.1523,0.0117,0.010742188,0,
,841,14.96875,6,5,49.7,0.1133,0,0.010742188,0,
,840,14.99414063,4,4.25,49,-0.6094,0.0117,0.001953125,0,
,839,15.00292969,4,3.5,48.9,0.1133,0.0117,0.010742188,0,
,841,14.99414063,4,3.5,48.9,0.0762,0.0117,0.001953125,0,
,843,15.01074219,4,3.5,48.9,0.0762,0.0117,0.010742188,0,
,844,15.00292969,4,3.75,48.9,0.1133,0,0.010742188,0,
,844,14.99414063,4,3.75,48.9,0.0762,0.0117,0.001953125,0,
,844,14.99414063,4,3.75,48.9,0.1133,0.0117,0.010742188,0,
,845,14.94238281,4,3.25,48.9,0.0762,0.0117,0.010742188,0,
,844,15.01074219,4,3.5,48.9,0.0762,0.0117,0.010742188,0,
,844,15.00292969,4,3.5,48.9,0.0762,0.0117,0.010742188,0,
,844,15.01074219,4,3.75,48.9,0.1133,0,0.010742188,0,
,845,15.01074219,4,3.75,48.9,0.0762,0,0.010742188,0,
,846,15.00292969,4,3.25,48.9,0.0762,0,0.001953125,0,
,846,15.00292969,4,3.25,48.9,0.0762,0.0117,0.001953125,0,
,850,15.00292969,4,2.75,48.9,0.0762,0.0117,0.010742188,0,
,850,15.01074219,4,2.75,48.9,0.0762,0,0.010742188,0,
,851,15.01074219,2,1.75,48.3,-0.6465,0,0.001953125,0,
,850,14.99414063,1,1.25,47.9,0.0371,0.0117,0.001953125,0,
,851,15.01953125,1,1,47.9,0.0371,0,0.010742188,0,
,850,15.00292969,1,1,47.9,0.0371,0,0.010742188,0,
,851,15.01074219,1,1,47.9,0.0371,0.0117,0.001953125,0,
,851,15.03710938,1,1,47.9,0.0762,0,0.010742188,0,
,849,15.01953125,1,1,47.9,0.0371,0,0.010742188,0,
,850,15.01074219,1,1,47.9,0.0371,0.0117,0.010742188,0,
,850,14.96875,1,1,47.9,0.0371,0,0.010742188,0,
,852,15.00292969,1,1,47.9,0.0371,0,0.010742188,0,
,851,15.00292969,1,1,47.9,0.0371,0.0117,0.010742188,0,
,852,15.01074219,1,1,47.9,0.0371,0,0.010742188,0,
,852,15.02832031,1,1,47.9,0.0371,0,0.010742188,0,
,853,15.01953125,1,1,47.9,0.0371,0.0117,0.010742188,0,
,854,15.01074219,1,1,47.9,0.0371,0,0.010742188,0,
,854,15.01074219,1,1,47.9,0.0762,0.0117,0.001953125,0,
,853,15.00292969,1,1,47.9,0.0762,0.0117,0.001953125,0,
,852,15.01074219,1,2.5,47.9,0.0762,0.0117,0.001953125,0,
,852,15.01074219,1,3.25,47.9,0.0371,0.0117,0.010742188,0,
,854,15.02832031,1,3.5,47.9,0.0371,0.0117,0.001953125,0,
,851,15.01953125,4,5.25,48.9,0.0762,0,0.001953125,0,
,851,14.95996094,4,6,48.9,0.0762,0.0117,0.010742188,0,
,852,15.01953125,6,6.75,49.7,0.0762,0.0117,0.001953125,0,
,851,15.00292969,6,7,49.7,0.1133,0.0117,0.001953125,0,
,849,15.01074219,6,8.5,49.7,0.1133,0.0117,0.001953125,0,
,850,15.01074219,6,7.75,49.7,0.1133,0,0.010742188,0,
,850,14.96875,6,8,49.7,0.1133,0,0.010742188,0,
,850,15.01953125,6,7.5,49.7,0.1133,0,0.010742188,0,
,850,15.01953125,6,7.25,49.7,0.0762,0,0.001953125,0,
,851,15.01074219,6,6,49.7,0.1133,0.0117,0.010742188,0,
,852,15.01953125,6,6.5,49.7,0.1133,0,0.001953125,0,
,851,14.98535156,6,6.75,49.7,0.1133,0,0.010742188,0,
,849,15.02832031,6,7.25,49.7,0.1523,0.0117,0.001953125,0,
,851,15.01953125,6,6.5,49.7,0.1133,0,0.010742188,0,
,850,14.99414063,6,6,49.7,0.1133,0,0.010742188,0,
,849,14.99414063,6,5.5,49.7,0.1133,0.0117,0.010742188,0,
,849,14.99414063,4,4.75,48.9,-0.3418,0,0.001953125,0,
,847,15.00292969,3,4.25,48.8,0.1133,0.0117,0.001953125,0,
,849,15.01953125,3,3.5,48.8,0.1133,0.0117,0.010742188,0,
,848,15.01953125,3,3,48.8,0.0762,0,0.010742188,0,
,847,15.01953125,3,2.75,48.8,0.0762,0.0117,0.010742188,0,
,848,14.95996094,3,2.5,48.8,0.1133,0,0.001953125,0,
,850,15.01953125,2,2,48.3,-0.6094,0,0.001953125,0,
,849,15.01953125,1,1.5,48,0.0371,0.0117,0.001953125,0,
,849,15.01074219,1,1.25,48,0.0762,0,0.010742188,0,
,849,15.01953125,1,1.25,48,0.0371,0.0117,0.010742188,0,
,849,15.01953125,1,1.25,48,0.0371,0,0.001953125,0,
,848,15.02832031,1,1.25,48,0.0762,0,0.010742188,0,
,849,15.03710938,1,1.25,48,0.0371,0.0117,0.010742188,0,
,850,15.01953125,1,1,48,0.0762,0.0117,0.001953125,0,
,849,15.02832031,1,1,48,0.0762,0.0117,0.001953125,0,
,851,14.95996094,1,1,48,0.0371,0.0117,0.010742188,0,
,850,15.01074219,1,1,48,0.0762,0,0.010742188,0,
,852,15.00292969,1,1,48,0.0762,0.0117,0.010742188,0,
,851,15.00292969,1,1,48,0.0371,0.0117,0.001953125,0,
,853,15.01953125,1,1,48,0.0762,0,0.001953125,0,
,849,15.00292969,1,1,48,0.0371,0,0.010742188,0,
,851,15.02832031,1,1,48,0.0762,0,0.010742188,0,
,853,15.01074219,1,1,48,0.0371,0.0117,0.010742188,0,
,853,14.99414063,1,1,48,0.0762,0,0.001953125,0,
,853,15.01074219,1,1,48,0.0762,0.0117,0.010742188,0,
,853,14.98535156,1,1,48,0.0762,0,0.010742188,0,
,852,15.03710938,1,1,48,0.0762,0,0.010742188,0,
,852,15.01953125,1,1,48,0.0762,0.0117,0.010742188,0,
,852,15.00292969,1,1,48,0.0371,0.0117,0.001953125,0,
,852,15.01953125,1,1,48,0.0762,0.0117,0.001953125,0,
,854,14.98535156,1,1,48,0.0371,0.0117,0.001953125,0,
,855,15.00292969,1,1,48,0.0762,0.0117,0.010742188,0,
,856,15.01953125,1,1,48,0.0762,0.0117,0.001953125,0,
,856,15.01074219,1,1,48,0.0762,0,0.001953125,0,
,855,15.00292969,1,1,48,0.1133,0.0117,0.001953125,0,
,854,15.01953125,1,1,48,0.0762,0,0.010742188,0,
,853,14.99414063,1,1,48,0.0371,0.0117,0.010742188,0,
,852,15.00292969,1,1,48,0.0371,0.0117,0.001953125,0,
,852,15.01074219,1,1,48,0.0762,0.0117,0.010742188,0,
,851,15.02832031,1,1,48,0.0762,0,0.001953125,0,
,851,15.02832031,1,1,48,0.0371,0.0117,0.010742188,0,
,853,15.01953125,1,1,48,0.0371,0,0.010742188,0,
,852,15.01953125,1,1,48,0.0371,0.0117,0.010742188,0,
,849,15.00292969,1,1,48,0.0762,0.0117,0.001953125,0,
,848,15.00292969,1,1,48,0.0762,0.0117,0.001953125,0,
,843,15.00292969,1,1,48,0.0762,0.0117,0.001953125,0,
,844,15.01953125,1,1,48,0.0762,0.0117,0.001953125,0,
,844,15.03710938,1,1,48,0.0371,0.0117,0.001953125,0,
,844,15.01953125,1,1,48,0.0762,0,0.010742188,0,
,842,14.9765625,1,1,48,0.0762,0,0.010742188,0,
,838,14.96875,1,1,48,0.0762,0.0117,0.010742188,0,
,837,15.00292969,1,1,48,0.0762,0.0117,0.010742188,0,
,838,15.01074219,1,1,48,0.0762,0.0117,0.001953125,0,
,840,15.01953125,1,1,48,0.0371,0.0117,0.010742188,0,
,843,15.01074219,1,1,48,0.0762,0,0.010742188,0,
,843,15.01074219,1,1,48,0.0762,0.0117,0.001953125,0,
,846,15.01074219,1,1,48,0.0762,0,0.010742188,0,
,844,15.01074219,1,1,48,0.1133,0,0.001953125,0,
,847,15.03710938,1,1,48,0.1133,0,0.001953125,0,
,848,15.02832031,1,1,48,0.0762,0,0.001953125,0,
,849,15.00292969,1,1,48,0.0762,0,0.001953125,0,
,848,15.01953125,1,1,48,0.0762,0,0.010742188,0,
,849,15.00292969,1,1,48,0.0371,0.0117,0.001953125,0,
,849,14.99414063,1,1,48,0.1133,0.0117,0.010742188,0,
,849,15.01953125,1,1,48,0.0762,0,0.010742188,0,
,851,15.01953125,1,1,48,0.0762,0,0.010742188,0,
,852,15.03710938,1,1,48,0.1133,0.0117,0.001953125,0,
,852,14.99414063,1,1,48,0.0762,0,0.010742188,0,
,853,14.96875,1,1,48,0.0762,0.0117,0.010742188,0,
,853,15.01074219,1,1,48,0.0762,0.0117,0.001953125,0,
,852,15.01074219,1,1,48,0.0762,0,0.001953125,0,
,850,15.01953125,1,1,48,0.0762,0.0117,0.001953125,0,
,847,15.01074219,1,1,48,0.0371,0,0.010742188,0,
,847,15.01074219,1,1,48,0.0371,0,0.001953125,0,
,847,15.01953125,1,1,48,0.0371,0.0117,0.010742188,0,
,847,15.01074219,1,1,48,0.0762,0,0.001953125,0,
,844,15.01074219,1,1,48,0.0762,0.0117,0.010742188,0,
,846,15.00292969,1,1,48,0.0371,0.0117,0.001953125,0,
,843,14.96875,1,1,48,0.0762,0.0117,0.010742188,0,
,844,15.02832031,1,1,48,0.0371,0.0117,0.010742188,0,
,845,15.02832031,1,1,48,0.0371,0.0117,0.010742188,0,
,843,15.02832031,1,1,48,0.0762,0.0117,0.010742188,0,
,844,15.02832031,1,1,48,0.0371,0,0.010742188,0,
,845,15.01074219,1,1,48,0.0762,0,0.010742188,0,
,849,15.02832031,1,1,48,0.0762,0,0.001953125,0,
,849,15.01074219,1,1,48,0.0762,0.0117,0.010742188,0,
,849,15.02832031,1,1,48,0.1133,0.0117,0.001953125,0,
,851,15.01074219,1,1,48,0.0371,0.0117,0.010742188,0,
,852,15.01953125,1,1,48,0.0371,0,0.010742188,0,
,852,15.01953125,1,1,48,0.0762,0,0.001953125,0,
